2 0.000000_-1.000000 4.000000_3.000000
1 1
0.000000 -1.000000 | 0.074300 | -202.777778 | -39.999999 | -0.000001 
0.010000 -1.000000 | 0.073861 | -200.006944 | -39.970096 | -0.000001 
0.020000 -1.000000 | 0.073424 | -197.250000 | -39.881117 | -0.000001 
0.030000 -1.000000 | 0.072989 | -194.506944 | -39.733412 | -0.000001 
0.040000 -1.000000 | 0.072556 | -191.777778 | -39.527565 | -0.000001 
0.050000 -1.000000 | 0.072125 | -189.062500 | -39.264387 | -0.000001 
0.060000 -1.000000 | 0.071696 | -186.361111 | -38.944917 | -0.000001 
0.070000 -1.000000 | 0.071269 | -183.673611 | -38.570417 | -0.000001 
0.080000 -1.000000 | 0.070844 | -181.000000 | -38.142363 | -0.000001 
0.090000 -1.000000 | 0.070421 | -178.340278 | -37.662446 | -0.000001 
0.100000 -1.000000 | 0.070000 | -175.694444 | -37.132559 | -0.000001 
0.110000 -1.000000 | 0.069581 | -173.062500 | -36.554792 | -0.000001 
0.120000 -1.000000 | 0.069164 | -170.444444 | -35.931427 | -0.000000 
0.130000 -1.000000 | 0.068749 | -167.840278 | -35.264924 | -0.000000 
0.140000 -1.000000 | 0.068336 | -165.250000 | -34.557911 | -0.000000 
0.150000 -1.000000 | 0.067925 | -162.673611 | -33.813180 | -0.000000 
0.160000 -1.000000 | 0.067516 | -160.111111 | -33.033670 | -0.000000 
0.170000 -1.000000 | 0.067109 | -157.562500 | -32.222456 | -0.000000 
0.180000 -1.000000 | 0.066704 | -155.027778 | -31.382740 | -0.000000 
0.190000 -1.000000 | 0.066301 | -152.506944 | -30.517836 | -0.000000 
0.200000 -1.000000 | 0.065900 | -150.000000 | -29.631157 | -0.000000 
0.210000 -1.000000 | 0.065501 | -147.506944 | -28.726202 | -0.000000 
0.220000 -1.000000 | 0.065104 | -145.027778 | -27.806542 | -0.000000 
0.230000 -1.000000 | 0.064709 | -142.562500 | -26.875807 | -0.000000 
0.240000 -1.000000 | 0.064316 | -140.111111 | -25.937669 | -0.000000 
0.250000 -1.000000 | 0.063925 | -137.673611 | -24.995831 | -0.000000 
0.260000 -1.000000 | 0.063536 | -135.250000 | -24.054009 | -0.000000 
0.270000 -1.000000 | 0.063149 | -132.840278 | -23.115920 | -0.000000 
0.280000 -1.000000 | 0.062764 | -130.444444 | -22.185267 | -0.000000 
0.290000 -1.000000 | 0.062381 | -128.062500 | -21.265721 | -0.000000 
0.300000 -1.000000 | 0.062000 | -125.694444 | -20.360912 | -0.000000 
0.310000 -1.000000 | 0.061621 | -123.340278 | -19.474410 | -0.000000 
0.320000 -1.000000 | 0.061244 | -121.000000 | -18.609714 | -0.000000 
0.330000 -1.000000 | 0.060869 | -118.673611 | -17.770236 | -0.000000 
0.340000 -1.000000 | 0.060496 | -116.361111 | -16.959289 | -0.000000 
0.350000 -1.000000 | 0.060125 | -114.062500 | -16.180073 | -0.000000 
0.360000 -1.000000 | 0.059756 | -111.777778 | -15.435663 | -0.000000 
0.370000 -1.000000 | 0.059389 | -109.506944 | -14.728998 | -0.000000 
0.380000 -1.000000 | 0.059024 | -107.250000 | -14.062864 | -0.000000 
0.390000 -1.000000 | 0.058661 | -105.006944 | -13.439892 | -0.000000 
0.400000 -1.000000 | 0.058300 | -102.777778 | -12.862540 | -0.000000 
0.410000 -1.000000 | 0.057941 | -100.562500 | -12.333086 | -0.000000 
0.420000 -1.000000 | 0.057584 | -98.361111 | -11.853619 | -0.000000 
0.430000 -1.000000 | 0.057229 | -96.173611 | -11.426032 | -0.000000 
0.440000 -1.000000 | 0.056876 | -94.000000 | -11.052013 | -0.000000 
0.450000 -1.000000 | 0.056525 | -91.840278 | -10.733036 | -0.000000 
0.460000 -1.000000 | 0.056176 | -89.694444 | -10.470361 | -0.000000 
0.470000 -1.000000 | 0.055829 | -87.562500 | -10.265025 | -0.000000 
0.480000 -1.000000 | 0.055484 | -85.444444 | -10.117837 | -0.000000 
0.490000 -1.000000 | 0.055141 | -83.340278 | -10.029380 | -0.000000 
0.500000 -1.000000 | 0.054800 | -81.250000 | -10.000000 | -0.000000 
0.510000 -1.000000 | 0.054461 | -79.173611 | -10.029816 | -0.000000 
0.520000 -1.000000 | 0.054124 | -77.111111 | -10.118708 | -0.000000 
0.530000 -1.000000 | 0.053789 | -75.062500 | -10.266327 | -0.000000 
0.540000 -1.000000 | 0.053456 | -73.027778 | -10.472089 | -0.000000 
0.550000 -1.000000 | 0.053125 | -71.006944 | -10.735183 | -0.000000 
0.560000 -1.000000 | 0.052796 | -69.000000 | -11.054571 | -0.000000 
0.570000 -1.000000 | 0.052469 | -67.006944 | -11.428991 | -0.000000 
0.580000 -1.000000 | 0.052144 | -65.027778 | -11.856967 | -0.000000 
0.590000 -1.000000 | 0.051821 | -63.062500 | -12.336809 | -0.000000 
0.600000 -1.000000 | 0.051500 | -61.111111 | -12.866624 | -0.000000 
0.610000 -1.000000 | 0.051181 | -59.173611 | -13.444321 | -0.000000 
0.620000 -1.000000 | 0.050864 | -57.250000 | -14.067621 | -0.000000 
0.630000 -1.000000 | 0.050549 | -55.340278 | -14.734063 | -0.000000 
0.640000 -1.000000 | 0.050236 | -53.444444 | -15.441018 | -0.000000 
0.650000 -1.000000 | 0.049925 | -51.562500 | -16.185695 | -0.000000 
0.660000 -1.000000 | 0.049616 | -49.694444 | -16.965156 | -0.000000 
0.670000 -1.000000 | 0.049309 | -47.840278 | -17.776326 | -0.000000 
0.680000 -1.000000 | 0.049004 | -46.000000 | -18.616002 | -0.000000 
0.690000 -1.000000 | 0.048701 | -44.173611 | -19.480871 | -0.000000 
0.700000 -1.000000 | 0.048400 | -42.361111 | -20.367521 | -0.000000 
0.710000 -1.000000 | 0.048101 | -40.562500 | -21.272452 | -0.000000 
0.720000 -1.000000 | 0.047804 | -38.777778 | -22.192093 | -0.000000 
0.730000 -1.000000 | 0.047509 | -37.006944 | -23.122814 | -0.000000 
0.740000 -1.000000 | 0.047216 | -35.250000 | -24.060944 | -0.000000 
0.750000 -1.000000 | 0.046925 | -33.506944 | -25.002780 | -0.000000 
0.760000 -1.000000 | 0.046636 | -31.777778 | -25.944604 | -0.000000 
0.770000 -1.000000 | 0.046349 | -30.062500 | -26.882701 | -0.000000 
0.780000 -1.000000 | 0.046064 | -28.361111 | -27.813368 | -0.000000 
0.790000 -1.000000 | 0.045781 | -26.673611 | -28.732933 | -0.000000 
0.800000 -1.000000 | 0.045500 | -25.000000 | -29.637766 | -0.000000 
0.810000 -1.000000 | 0.045221 | -23.340278 | -30.524298 | -0.000000 
0.820000 -1.000000 | 0.044944 | -21.694444 | -31.389028 | -0.000000 
0.830000 -1.000000 | 0.044669 | -20.062500 | -32.228546 | -0.000000 
0.840000 -1.000000 | 0.044396 | -18.444444 | -33.039537 | -0.000000 
