2 0.000000_-1.000000 4.000000_3.000000
0 1
0.000000 -1.000000 | 0.074300 | -202.777778 | -39.999999 
0.016000 -1.000000 | 0.073599 | -198.351111 | -39.923781 
0.032000 -1.000000 | 0.072902 | -193.960000 | -39.696871 
0.048000 -1.000000 | 0.072211 | -189.604444 | -39.321562 
0.064000 -1.000000 | 0.071525 | -185.284444 | -38.801643 
0.080000 -1.000000 | 0.070844 | -181.000000 | -38.142363 
0.096000 -1.000000 | 0.070168 | -176.751111 | -37.350380 
0.112000 -1.000000 | 0.069497 | -172.537778 | -36.433691 
0.128000 -1.000000 | 0.068832 | -168.360000 | -35.401552 
0.144000 -1.000000 | 0.068171 | -164.217778 | -34.264384 
0.160000 -1.000000 | 0.067516 | -160.111111 | -33.033670 
0.176000 -1.000000 | 0.066866 | -156.040000 | -31.721837 
0.192000 -1.000000 | 0.066221 | -152.004444 | -30.342132 
0.208000 -1.000000 | 0.065581 | -148.004444 | -28.908485 
0.224000 -1.000000 | 0.064946 | -144.040000 | -27.435372 
0.240000 -1.000000 | 0.064316 | -140.111111 | -25.937669 
0.256000 -1.000000 | 0.063691 | -136.217778 | -24.430497 
0.272000 -1.000000 | 0.063072 | -132.360000 | -22.929077 
0.288000 -1.000000 | 0.062457 | -128.537778 | -21.448567 
0.304000 -1.000000 | 0.061848 | -124.751111 | -20.003917 
0.320000 -1.000000 | 0.061244 | -121.000000 | -18.609714 
0.336000 -1.000000 | 0.060645 | -117.284444 | -17.280037 
0.352000 -1.000000 | 0.060051 | -113.604444 | -16.028311 
0.368000 -1.000000 | 0.059462 | -109.960000 | -14.867175 
0.384000 -1.000000 | 0.058879 | -106.351111 | -13.808354 
0.400000 -1.000000 | 0.058300 | -102.777778 | -12.862540 
0.416000 -1.000000 | 0.057727 | -99.240000 | -12.039282 
0.432000 -1.000000 | 0.057158 | -95.737778 | -11.346893 
0.448000 -1.000000 | 0.056595 | -92.271111 | -10.792364 
0.464000 -1.000000 | 0.056037 | -88.840000 | -10.381296 
0.480000 -1.000000 | 0.055484 | -85.444444 | -10.117837 
0.496000 -1.000000 | 0.054936 | -82.084444 | -10.004650 
0.512000 -1.000000 | 0.054393 | -78.760000 | -10.042876 
0.528000 -1.000000 | 0.053856 | -75.471111 | -10.232130 
0.544000 -1.000000 | 0.053323 | -72.217778 | -10.570500 
0.560000 -1.000000 | 0.052796 | -69.000000 | -11.054571 
0.576000 -1.000000 | 0.052274 | -65.817778 | -11.679453 
0.592000 -1.000000 | 0.051757 | -62.671111 | -12.438838 
0.608000 -1.000000 | 0.051245 | -59.560000 | -13.325058 
0.624000 -1.000000 | 0.050738 | -56.484444 | -14.329164 
0.640000 -1.000000 | 0.050236 | -53.444444 | -15.441018 
0.656000 -1.000000 | 0.049739 | -50.440000 | -16.649392 
0.672000 -1.000000 | 0.049248 | -47.471111 | -17.942085 
0.688000 -1.000000 | 0.048761 | -44.537778 | -19.306044 
0.704000 -1.000000 | 0.048280 | -41.640000 | -20.727498 
0.720000 -1.000000 | 0.047804 | -38.777778 | -22.192093 
0.736000 -1.000000 | 0.047333 | -35.951111 | -23.685040 
0.752000 -1.000000 | 0.046867 | -33.160000 | -25.191264 
0.768000 -1.000000 | 0.046406 | -30.404444 | -26.695558 
0.784000 -1.000000 | 0.045951 | -27.684444 | -28.182731 
0.800000 -1.000000 | 0.045500 | -25.000000 | -29.637766 
0.816000 -1.000000 | 0.045055 | -22.351111 | -31.045973 
0.832000 -1.000000 | 0.044614 | -19.737778 | -32.393130 
